entry_time,exit_time,entry_price,exit_price,pnl,type,exit_reason,duration_minutes,duration_bars
2025-03-13 11:35:00-04:00,2025-03-13 11:36:00-04:00,554.36,553.15,121.00000000000364,SHORT,TP,1.0,1
2025-03-14 11:30:00-04:00,2025-03-14 11:32:00-04:00,561.06,561.59,53.00000000000864,LONG,TP,2.0,2
2025-03-14 11:40:00-04:00,2025-03-14 11:55:00-04:00,561.82,561.85,2.9999999999972715,LONG,MAX_HOLD_BARS,15.0,15
2025-03-17 13:49:00-04:00,2025-03-17 14:00:00-04:00,566.86,567.71,85.00000000000227,LONG,TP,11.0,11
2025-03-17 14:01:00-04:00,2025-03-17 14:16:00-04:00,567.69,568.21,51.99999999999818,LONG,MAX_HOLD_BARS,15.0,15
2025-03-17 14:23:00-04:00,2025-03-17 14:33:00-04:00,568.45,569.05,59.999999999990905,LONG,TP,10.0,10
2025-03-17 14:39:00-04:00,2025-03-17 14:54:00-04:00,569.02,569.42,39.999999999997726,LONG,MAX_HOLD_BARS,15.0,15
2025-03-18 10:09:00-04:00,2025-03-18 10:24:00-04:00,561.09,561.16,-6.9999999999936335,SHORT,MAX_HOLD_BARS,15.0,15
2025-03-19 10:16:00-04:00,2025-03-19 10:31:00-04:00,564.97,564.58,-38.999999999998636,LONG,MAX_HOLD_BARS,15.0,15
2025-03-19 15:15:00-04:00,2025-03-19 15:20:00-04:00,570.06,568.83,-122.99999999999045,LONG,SL,5.0,5
2025-03-20 10:17:00-04:00,2025-03-20 10:32:00-04:00,568.7,569.36,65.99999999999682,LONG,MAX_HOLD_BARS,15.0,15
2025-03-20 10:37:00-04:00,2025-03-20 10:52:00-04:00,569.88,569.8,-8.000000000004093,LONG,MAX_HOLD_BARS,15.0,15
2025-03-21 09:54:00-04:00,2025-03-21 10:02:00-04:00,559.21,559.04,17.000000000007276,SHORT,TP,8.0,8
2025-03-24 10:11:00-04:00,2025-03-24 10:21:00-04:00,572.49,573.24,75.0,LONG,TP,10.0,10
2025-03-24 12:15:00-04:00,2025-03-24 12:17:00-04:00,574.21,573.91,-30.00000000000682,LONG,SL,2.0,2
2025-03-24 15:12:00-04:00,2025-03-24 15:27:00-04:00,573.89,574.06,16.999999999995907,LONG,MAX_HOLD_BARS,15.0,15
2025-03-25 10:52:00-04:00,2025-03-25 11:07:00-04:00,576.3,575.98,-31.999999999993634,LONG,MAX_HOLD_BARS,15.0,15
2025-03-26 11:42:00-04:00,2025-03-26 11:48:00-04:00,572.35,571.73,62.000000000000455,SHORT,TP,6.0,6
2025-03-26 12:08:00-04:00,2025-03-26 12:23:00-04:00,570.6,570.46,13.999999999998636,SHORT,MAX_HOLD_BARS,15.0,15
2025-03-27 11:53:00-04:00,2025-03-27 12:06:00-04:00,568.2,569.02,-81.99999999999363,SHORT,SL,13.0,13
2025-04-01 11:23:00-04:00,2025-04-01 11:38:00-04:00,561.52,560.81,-71.00000000000364,LONG,MAX_HOLD_BARS,15.0,15
2025-04-01 14:16:00-04:00,2025-04-01 14:18:00-04:00,557.52,556.9,62.000000000000455,SHORT,TP,2.0,2
2025-04-01 14:35:00-04:00,2025-04-01 14:50:00-04:00,556.84,556.46,37.999999999999545,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-02 10:40:00-04:00,2025-04-02 10:55:00-04:00,560.94,561.23,28.999999999996362,LONG,MAX_HOLD_BARS,15.0,15
2025-04-03 09:54:00-04:00,2025-04-03 10:03:00-04:00,545.79,543.42,237.00000000000045,SHORT,TP,9.0,9
2025-04-03 10:19:00-04:00,2025-04-03 10:34:00-04:00,542.43,542.66,-23.00000000000182,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-03 14:25:00-04:00,2025-04-03 14:40:00-04:00,540.68,541.51,-83.00000000000409,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-04 09:55:00-04:00,2025-04-04 10:10:00-04:00,521.31,519.23,207.99999999999272,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-08 09:52:00-04:00,2025-04-08 09:58:00-04:00,520.14,523.08,294.00000000000546,LONG,TP,6.0,6
2025-04-08 10:09:00-04:00,2025-04-08 10:17:00-04:00,523.07,524.87,179.99999999999545,LONG,TP,8.0,8
2025-04-08 11:23:00-04:00,2025-04-08 11:24:00-04:00,516.18,514.76,141.9999999999959,SHORT,TP,1.0,1
2025-04-08 13:21:00-04:00,2025-04-08 13:36:00-04:00,504.71,503.46,125.0,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-09 13:42:00-04:00,2025-04-09 13:48:00-04:00,528.41,531.73,332.000000000005,LONG,TP,6.0,6
2025-04-10 11:57:00-04:00,2025-04-10 12:03:00-04:00,519.68,516.77,290.9999999999968,SHORT,TP,6.0,6
2025-04-10 12:11:00-04:00,2025-04-10 12:18:00-04:00,517.18,514.26,291.9999999999959,SHORT,TP,7.0,7
2025-04-10 13:55:00-04:00,2025-04-10 14:10:00-04:00,523.94,523.11,-83.00000000000409,LONG,MAX_HOLD_BARS,15.0,15
2025-04-11 12:06:00-04:00,2025-04-11 12:21:00-04:00,527.71,527.95,24.00000000000091,LONG,MAX_HOLD_BARS,15.0,15
2025-04-14 11:24:00-04:00,2025-04-14 11:28:00-04:00,540.63,538.78,185.00000000000227,SHORT,TP,4.0,4
2025-04-14 11:59:00-04:00,2025-04-14 12:10:00-04:00,536.41,535.31,110.00000000000227,SHORT,TP,11.0,11
2025-04-16 12:13:00-04:00,2025-04-16 12:28:00-04:00,531.3,531.52,-22.00000000000273,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-16 13:55:00-04:00,2025-04-16 13:57:00-04:00,525.68,524.25,142.999999999995,SHORT,TP,2.0,2
2025-04-16 14:09:00-04:00,2025-04-16 14:24:00-04:00,525.07,526.28,-120.99999999999227,SHORT,MAX_HOLD_BARS,15.0,15
2025-04-17 09:41:00-04:00,2025-04-17 09:50:00-04:00,527.18,528.53,135.00000000000227,LONG,TP,9.0,9
2025-04-17 10:00:00-04:00,2025-04-17 10:14:00-04:00,528.68,527.41,-126.99999999999818,LONG,SL,14.0,14
2025-04-17 15:21:00-04:00,2025-04-17 15:26:00-04:00,527.04,527.97,-93.00000000000637,SHORT,SL,5.0,5
2025-04-21 10:32:00-04:00,2025-04-21 10:36:00-04:00,515.31,516.1,-79.00000000000773,SHORT,SL,4.0,4
2025-04-22 09:55:00-04:00,2025-04-22 10:00:00-04:00,521.29,522.16,87.00000000000045,LONG,TP,5.0,5
2025-04-22 10:18:00-04:00,2025-04-22 10:33:00-04:00,522.52,522.91,38.999999999998636,LONG,MAX_HOLD_BARS,15.0,15
2025-04-22 11:23:00-04:00,2025-04-22 11:30:00-04:00,525.7,524.69,-100.99999999999909,LONG,SL,7.0,7
